                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.36835,                0.37946,                 0.0633,                0.86021,                0.88591,                0.90325,                0.57354,                0.45002,                 0.4579,                0.10748,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.36256,                0.37752,                0.06494,                0.87276,                0.89624,                0.91125,                0.57663,                0.45375,                0.46271,                0.10964,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                0.36106,                0.37847,                0.06384,                0.86527,                 0.8983,                 0.9125,                0.57738,                0.45214,                0.46264,                0.10679,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.36067,                0.37536,                0.06482,                0.86639,                0.89373,                0.91119,                 0.5815,                0.45038,                0.46728,                0.10739,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                 0.3592,                0.37659,                0.06417,                0.85624,                0.88332,                0.90744,                0.57609,                0.44776,                0.46528,                0.10735,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.35403,                0.37369,                0.06323,                0.88227,                0.87851,                0.90595,                0.57706,                0.45015,                0.47082,                0.10714,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.36116,                0.37482,                0.06382,                0.85018,                0.90111,                0.90471,                0.57583,                0.45405,                0.46073,                0.10823,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                 0.3511,                 0.3714,                0.06392,                0.85881,                0.88586,                0.90177,                 0.5736,                0.45238,                0.46162,                0.10848,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.33475,                0.36478,                0.06732,                0.86053,                0.89093,                0.90103,                0.57503,                0.44888,                0.46356,                0.10694,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.32846,                0.36029,                0.06569,                 0.8676,                0.87355,                0.90927,                0.58029,                0.45017,                0.45875,                0.10539,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.32301,                 0.3563,                0.06452,                0.87228,                0.86933,                0.90947,                0.58405,                0.45095,                0.46342,                0.10601,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.32216,                0.35759,                0.06347,                0.86367,                0.87231,                 0.9063,                0.58489,                0.45073,                0.47685,                0.10683,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                0.32446,                0.35672,                 0.0629,                0.85663,                0.89832,                0.90823,                0.58585,                0.44926,                0.46777,                0.10608,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.31766,                  0.353,                0.06163,                0.86474,                0.89622,                0.90859,                0.58529,                0.44977,                0.46564,                0.10649,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.32121,                0.35536,                0.06441,                0.86825,                0.89368,                0.90573,                0.58435,                0.45106,                0.46204,                0.10776,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.32083,                0.35518,                0.06209,                0.87068,                0.88944,                0.90638,                0.58771,                0.45118,                0.46349,                0.10737,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.31702,                  0.353,                0.06344,                0.86833,                0.89583,                0.90572,                 0.5853,                0.45305,                0.46496,                0.10722,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.31576,                0.35046,                0.06221,                0.86107,                0.89708,                 0.9073,                 0.5854,                0.45207,                0.46384,                0.10672,             1.0467e-05,             1.0467e-05,             1.0467e-05
